Unnamed: 0,UEI,Start Date,End Date,Duration(Days),Main Cause,Location,Districts,State,Latitude,Longitude,Severity,Area Affected,Human fatality,Human injured,Human Displaced,Animal Fatality,Description of Casualties/injured,Extent of damage ,Event Source,Event Souce ID,District_LGD_Codes,State_Codes,rain_1d,rain_3d,rain_7d,rain_lag_1d
5362,UEI-IMD-FL-2021-0053,2021-07-22,2021-07-24,3.0,"Heavy rains, Flood & Landslides",,Haveri,Karnataka,,,,,1.0,,,,,,IMD,,540,29,-54.552212638533696,-184.10487581005222,-418.62920975750023,-63.118128859547866
5363,UEI-IMD-FL-2021-0054,2021-07-22,2021-07-24,3.0,"Heavy rains, Flood & Landslides",,Uttar Kashia Kannada  ,Karnataka,,,,,4.0,,,,,,IMD,,,29,-54.552212638533696,-184.10487581005222,-418.62920975750023,-63.118128859547866
5364,UEI-IMD-FL-2021-0055,2021-07-22,2021-07-24,3.0,"Heavy rains, Flood & Landslides",," Belagavi, Chikkaballapura, Dharwad, Haveri, Kodagu, Shivamogga, Uttar Kashia Kannada  ",Karnataka,,,,,,,3.0,78.0,,,IMD,,"527, 630, 536, 540, 541, 547, None",29,-54.552212638533696,-184.10487581005222,-418.62920975750023,-63.118128859547866
5365,UEI-IMD-FL-2021-0056,2021-10-03,2021-10-06,4.0,Heavy Rains,,Belagavi,Karnataka,,,,,7.0,,,,,,IMD,,527,29,-67.26265349502789,-197.53058748582748,-464.8383140590333,-60.848227624965666
5366,UEI-IMD-FL-2021-0057,2021-10-03,2021-10-06,4.0,Heavy Rains,,Tumakuru ,Karnataka,,,,,1.0,1.0,,,,,IMD,,548,29,-67.26265349502789,-197.53058748582748,-464.8383140590333,-60.848227624965666
5367,UEI-IMD-FL-2021-0058,2021-11-15,2021-11-20,6.0,Heavy Rains & Floods,,"Chitradurga, ",Karnataka,,,,,6.0,,,,,,IMD,,"533, 603",29,-65.53426910863814,-198.5701326264606,-478.44612002152337,-64.6894240100241
5368,UEI-IMD-FL-2021-0059,2021-11-15,2021-11-20,6.0,Heavy Rains & Floods,,Chikkaballapura,Karnataka,,,,,1.0,,,,,,IMD,,630,29,-65.53426910863814,-198.5701326264606,-478.44612002152337,-64.6894240100241
5369,UEI-IMD-FL-2021-0060,2021-11-15,2021-11-20,6.0,Heavy Rains & Floods,,Tumakuru ,Karnataka,,,,,1.0,,,,,,IMD,,548,29,-65.53426910863814,-198.5701326264606,-478.44612002152337,-64.6894240100241
5370,UEI-IMD-FL-2021-0061,2021-11-15,2021-11-20,6.0,Heavy Rains & Floods,,Parts of Karnataka,Karnataka,,,,,7.0,,,,,,IMD,,,29,-65.53426910863814,-198.5701326264606,-478.44612002152337,-64.6894240100241
6131,UEI-IMD-FL-2022-0485,2022-04-14,2022-04-14,1.0,Heavy Rain,,Bengaluru Urban,Karnataka,,,,,1.0,,,,,,IMD,,525,29,-68.54770302258689,-213.14023552970207,-499.4957084061473,-72.18723043637137
6132,UEI-IMD-FL-2022-0486,2022-05-01,2022-05-01,1.0,Heavy Rains,,Bengaluru Urban,Karnataka,,,,,,2.0,,,,,IMD,,525,29,-71.16952271813598,-212.44136789173376,-499.8018461469892,-71.41081721700742
6133,UEI-IMD-FL-2022-0487,2022-05-01,2022-05-01,1.0,Heavy Rains,,Dharwad,Karnataka,,,,,1.0,1.0,,,,,IMD,,536,29,-71.16952271813598,-212.44136789173376,-499.8018461469892,-71.41081721700742
6134,UEI-IMD-FL-2022-0488,2022-05-04,2022-05-04,1.0,Heavy Rains,,Dharwad,Karnataka,,,,,1.0,2.0,,,,,IMD,,536,29,-69.34099729418647,-211.7731045003568,-496.56280015015506,-71.87295560016823
6149,UEI-IMD-FL-2022-0503,2022-05-17,2022-05-20,4.0,Heavy Rains & Floods,,,Karnataka,,,,,,,,,,,IMD,,,29,-60.76219237691802,-200.18984854048261,-474.78034963542615,-69.71329185752005
6148,UEI-IMD-FL-2022-0502,2022-05-17,2022-05-20,4.0,Heavy Rains & Floods,,Udupi ,Karnataka,,,,,,,,,,,IMD,,549,29,-60.76219237691802,-200.18984854048261,-474.78034963542615,-69.71329185752005
6138,UEI-IMD-FL-2022-0492,2022-05-17,2022-05-20,4.0,Heavy Rains & Floods,,Bengaluru Urban,Karnataka,,,,,,,,,,,IMD,,525,29,-60.76219237691802,-200.18984854048261,-474.78034963542615,-69.71329185752005
6139,UEI-IMD-FL-2022-0493,2022-05-17,2022-05-20,4.0,Heavy Rains & Floods,,Chikkaballapura,Karnataka,,,,,,,,,,,IMD,,630,29,-60.76219237691802,-200.18984854048261,-474.78034963542615,-69.71329185752005
6140,UEI-IMD-FL-2022-0494,2022-05-17,2022-05-20,4.0,Heavy Rains & Floods,,Dakshina Kannada,Karnataka,,,,,,,,,,,IMD,,534,29,-60.76219237691802,-200.18984854048261,-474.78034963542615,-69.71329185752005
6141,UEI-IMD-FL-2022-0495,2022-05-17,2022-05-20,4.0,Heavy Rains & Floods,,Davangere,Karnataka,,,,,,,,,,,IMD,,535,29,-60.76219237691802,-200.18984854048261,-474.78034963542615,-69.71329185752005
6142,UEI-IMD-FL-2022-0496,2022-05-17,2022-05-20,4.0,Heavy Rains & Floods,,Hassan,Karnataka,,,,,,,,,,,IMD,,539,29,-60.76219237691802,-200.18984854048261,-474.78034963542615,-69.71329185752005
6143,UEI-IMD-FL-2022-0497,2022-05-17,2022-05-20,4.0,Heavy Rains & Floods,,Kodagu,Karnataka,,,,,,,,,,,IMD,,541,29,-60.76219237691802,-200.18984854048261,-474.78034963542615,-69.71329185752005
6144,UEI-IMD-FL-2022-0498,2022-05-17,2022-05-20,4.0,Heavy Rains & Floods,,Koppal,Karnataka,,,,,,,,,,,IMD,,543,29,-60.76219237691802,-200.18984854048261,-474.78034963542615,-69.71329185752005
6145,UEI-IMD-FL-2022-0499,2022-05-17,2022-05-20,4.0,Heavy Rains & Floods,,Mandya,Karnataka,,,,,,,,,,,IMD,,544,29,-60.76219237691802,-200.18984854048261,-474.78034963542615,-69.71329185752005
6146,UEI-IMD-FL-2022-0500,2022-05-17,2022-05-20,4.0,Heavy Rains & Floods,, Shivamogga,Karnataka,,,,,,,,,,,IMD,,547,29,-60.76219237691802,-200.18984854048261,-474.78034963542615,-69.71329185752005
6147,UEI-IMD-FL-2022-0501,2022-05-17,2022-05-20,4.0,Heavy Rains & Floods,,Uttar Kashia Kannada,Karnataka,,,,,,,,,,,IMD,,,29,-60.76219237691802,-200.18984854048261,-474.78034963542615,-69.71329185752005
6135,UEI-IMD-FL-2022-0489,2022-05-18,2022-05-18,1.0,Heavy Rains,,Hassan,Karnataka,,,,,1.0,,,,,,IMD,,539,29,-56.797260036837386,-187.27274427127546,-461.4618111136902,-60.76219237691802
6137,UEI-IMD-FL-2022-0491,2022-05-19,2022-05-19,1.0,Heavy Rains & Floods,,Yadgir,Karnataka,,,,,,1.0,,,,,IMD,,635,29,-51.907418202480365,-169.46687061623578,-445.6429950520802,-56.797260036837386
6136,UEI-IMD-FL-2022-0490,2022-05-19,2022-05-19,1.0,Heavy Rains & Floods,,Shivamogga,Karnataka,,,,,1.0,,,,,,IMD,,547,29,-51.907418202480365,-169.46687061623578,-445.6429950520802,-56.797260036837386
6150,UEI-IMD-FL-2022-0504,2022-07-04,2022-07-04,1.0,Heavy Rains,,Chikkaballapura,Karnataka,,,,,1.0,,,,,,IMD,,630,29,-61.16276666764068,-188.65765514058447,-449.48978245328647,-65.31345738540868
6151,UEI-IMD-FL-2022-0505,2022-07-04,2022-07-04,1.0,Heavy Rains,,Kodagu,Karnataka,,,,,,,,,,,IMD,,541,29,-61.16276666764068,-188.65765514058447,-449.48978245328647,-65.31345738540868
6152,UEI-IMD-FL-2022-0506,2022-07-04,2022-07-04,1.0,Heavy Rains,,Uttar Kashia Kannada,Karnataka,,,,,,7.0,,,,,IMD,,,29,-61.16276666764068,-188.65765514058447,-449.48978245328647,-65.31345738540868
6153,UEI-IMD-FL-2022-0507,2022-07-06,2022-07-06,1.0,Landslide,,Dakshina Kannada ,Karnataka,,,,,3.0,2.0,,,,,IMD,,534,29,-50.868594171009455,-168.68014249455746,-423.18551743722867,-56.64878165590731
6154,UEI-IMD-FL-2022-0508,2022-07-22,2022-07-23,2.0,Heavy rains & Floods,,Beedar,Karnataka,,,,,,,,,,,IMD,,,29,-69.23498052934661,-207.71397379973732,-457.3587704836484,-67.89545105565374
6155,UEI-IMD-FL-2022-0509,2022-07-22,2022-07-23,2.0,Heavy rains & Floods,, Kalaburagi ,Karnataka,,,,,,,,,,,IMD,,538,29,-69.23498052934661,-207.71397379973732,-457.3587704836484,-67.89545105565374
6156,UEI-IMD-FL-2022-0510,2022-07-22,2022-07-22,1.0,Heavy rains & Floods,, Kalaburagi ,Karnataka,,,,,1.0,,,,,,IMD,,538,29,-69.23498052934661,-207.71397379973732,-457.3587704836484,-67.89545105565374
6158,UEI-IMD-FL-2022-0512,2022-08-01,2022-08-01,1.0,Landslide,,Uttar Kashia Kannada,Karnataka,,,,,4.0,,,,,,IMD,,,29,-63.728466758697195,-190.14522866039331,-452.8404122689323,-64.52651594231706
6157,UEI-IMD-FL-2022-0511,2022-08-01,2022-08-01,1.0,Landslide,,Dakshina Kannada,Karnataka,,,,,2.0,,,,,,IMD,,534,29,-63.728466758697195,-190.14522866039331,-452.8404122689323,-64.52651594231706
6159,UEI-IMD-FL-2022-0513,2022-08-04,2022-08-04,1.0,Heavy rains & Floods,,Tumakuru,Karnataka,,,,,2.0,,,,,,IMD,,548,29,-59.44033851790937,-167.8490375270374,-425.91948357432705,-58.46880253987174
6160,UEI-IMD-FL-2022-0514,2022-08-08,2022-08-08,1.0,Heavy Rains,,Belagavi,Karnataka,,,,,,1.0,,,,,IMD,,527,29,-58.352128762515186,-178.0375876913351,-398.29240088232416,-60.43878773641781
6161,UEI-IMD-FL-2022-0515,2022-08-30,2022-08-31,2.0,Heavy rains & Floods,,Dharwad,Karnataka,,,,,2.0,,,,,,IMD,,536,29,-57.3365384605316,-180.98107641311987,-437.5331518997028,-63.211146362950714
6162,UEI-IMD-FL-2022-0516,2022-08-30,2022-08-31,2.0,Heavy rains & Floods,,Haveri,Karnataka,,,,,1.0,,,,,,IMD,,540,29,-57.3365384605316,-180.98107641311987,-437.5331518997028,-63.211146362950714
6163,UEI-IMD-FL-2022-0517,2022-08-30,2022-08-31,2.0,Heavy rains & Floods,,Vijayapura,Karnataka,,,,,,,,,,,IMD,,530,29,-57.3365384605316,-180.98107641311987,-437.5331518997028,-63.211146362950714
6164,UEI-IMD-FL-2022-0518,2022-08-31,2022-08-31,1.0,Heavy rains & Floods,,Haveri,Karnataka,,,,,1.0,,,,,,IMD,,540,29,-67.53285993876345,-188.08054476224578,-438.1651363658927,-57.3365384605316
6165,UEI-IMD-FL-2022-0519,2022-09-04,2022-09-05,2.0,Heavy rains & Floods,,Bengaluru Urban,Karnataka,,,,,2.0,,,,,,IMD,,525,29,-69.17097928669784,-203.22392679441268,-453.64282325057553,-71.36198223222677
6169,UEI-IMD-FL-2022-0523,2022-09-06,2022-09-06,1.0,Heavy rains & Floods,,Mandya,Karnataka,,,,,,,,,,,IMD,,544,29,-56.47361942722772,-183.962268134143,-447.8864272745384,-58.31766942021743
6168,UEI-IMD-FL-2022-0522,2022-09-06,2022-09-06,1.0,Heavy rains & Floods,,Kodagu,Karnataka,,,,,,,,,,,IMD,,541,29,-56.47361942722772,-183.962268134143,-447.8864272745384,-58.31766942021743
6170,UEI-IMD-FL-2022-0524,2022-09-06,2022-09-06,1.0,Heavy rains & Floods,,Mysuru,Karnataka,,,,,,,,804.0,,,IMD,,545,29,-56.47361942722772,-183.962268134143,-447.8864272745384,-58.31766942021743
6166,UEI-IMD-FL-2022-0520,2022-09-06,2022-09-06,1.0,Heavy rains & Floods,,Belagavi,Karnataka,,,,,,,,,,,IMD,,527,29,-56.47361942722772,-183.962268134143,-447.8864272745384,-58.31766942021743
6167,UEI-IMD-FL-2022-0521,2022-09-06,2022-09-06,1.0,Heavy rains & Floods,,Chamarajanagara,Karnataka,,,,,1.0,,,,,,IMD,,531,29,-56.47361942722772,-183.962268134143,-447.8864272745384,-58.31766942021743
6171,UEI-IMD-FL-2022-0525,2022-09-09,2022-09-09,1.0,Heavy rains & Floods,,Belagavi,Karnataka,,,,,1.0,,,,,,IMD,,527,29,-63.79300260309894,-180.84550992149298,-436.16976028786274,-59.71006065968106
6172,UEI-IMD-FL-2022-0526,2022-09-09,2022-09-09,1.0,Heavy rains & Floods,, Kalaburagi,Karnataka,,,,,,,,,,,IMD,,538,29,-63.79300260309894,-180.84550992149298,-436.16976028786274,-59.71006065968106
6173,UEI-IMD-FL-2022-0527,2022-09-09,2022-09-09,1.0,Heavy rains & Floods,,Uttar Kashia Kannada ,Karnataka,,,,,,,,,,,IMD,,,29,-63.79300260309894,-180.84550992149298,-436.16976028786274,-59.71006065968106
6174,UEI-IMD-FL-2022-0528,2022-09-09,2022-09-09,1.0,Heavy rains & Floods,,Vijayapura,Karnataka,,,,,,,,,,,IMD,,530,29,-63.79300260309894,-180.84550992149298,-436.16976028786274,-59.71006065968106
6175,UEI-IMD-FL-2022-0529,2022-09-11,2022-09-11,1.0,Heavy rains,,Belagavi,Karnataka,,,,,1.0,,,,,,IMD,,527,29,-61.53134565609769,-189.68651238765344,-421.53030855349266,-64.36216412845681
6176,UEI-IMD-FL-2022-0530,2022-09-12,2022-09-12,1.0,Heavy rains & Floods,,Belagavi,Karnataka,,,,,,,,,,,IMD,,527,29,-64.13014645595949,-190.023656240514,-427.3427855892347,-61.53134565609769
6177,UEI-IMD-FL-2022-0531,2022-09-12,2022-09-12,1.0,Heavy rains & Floods,,Gadag,Karnataka,,,,,,,,,,,IMD,,537,29,-64.13014645595949,-190.023656240514,-427.3427855892347,-61.53134565609769
6178,UEI-IMD-FL-2022-0532,2022-09-12,2022-09-12,1.0,Heavy rains & Floods,,Uttar Kashia Kannada,Karnataka,,,,,1.0,,,,,,IMD,,,29,-64.13014645595949,-190.023656240514,-427.3427855892347,-61.53134565609769
6179,UEI-IMD-FL-2022-0533,2022-10-01,2022-10-01,1.0,Heavy rains & Floods,,Koppal,Karnataka,,,,,4.0,,,,,,IMD,,543,29,-62.39475498460706,-191.780991744676,-473.01870150147465,-62.4399001227587
6180,UEI-IMD-FL-2022-0534,2022-10-11,2022-10-11,1.0,Heavy rains,,Bengaluru Urban,Karnataka,,,,,2.0,3.0,,,,,IMD,,525,29,-63.194744196417865,-198.55025064350255,-465.21936663882485,-63.60278309424646
7121,UEI-IMD-FL-2023-0336,2023-05-21,2023-05-21,1.0,Heavy Rains & Floods,,Bengaluru Rural,Karnataka,,,,,2.0,,,,,,IMD,,526,29,-70.97750187668774,-215.6480184894515,-505.5013492938711,-72.43413022993988
7122,UEI-IMD-FL-2023-0337,2023-07-05,2023-07-05,1.0,Heavy Rains,,"Beedar, Kalaburagi, Belagavi, Yadgir, Bagalkotee, Raichur, Koppal, Gadag, Ballari, Dharwad, Uttar Kashia Kannada, Haveri, Chitradurga, Davangere, Shivamogga, Udupi, Chikkamagaluru, Chikkaballapura, Hassan, Kolar, Bengaluru Rural, Dakshina Kannada, Bengaluru Urban, Kodagu, Chamarajanagaraa, Tumakuru, Ramanagara, Mandya, Mysuru, Vijayapura",Karnataka,,,,,,,,,,,IMD,,"None, 538, 527, 635, None, 546, 543, 537, 528, 536, None, 540, 533, 535, 547, 549, 532, 630, 539, 542, 526, 534, 525, 541, None, 548, 631, 544, 545, 530",29,-55.916511566204925,-180.31719798866672,-453.85432766453476,-62.92970573823788
7123,UEI-IMD-FL-2023-0338,2023-07-05,2023-07-05,1.0,Heavy Rains,,Chikkamagaluru,Karnataka,,,,,,,,,,,IMD,,532,29,-55.916511566204925,-180.31719798866672,-453.85432766453476,-62.92970573823788
7124,UEI-IMD-FL-2023-0339,2023-07-05,2023-07-05,1.0,Heavy Rains,,Dakshina Kannada,Karnataka,,,,,2.0,,,,,,IMD,,534,29,-55.916511566204925,-180.31719798866672,-453.85432766453476,-62.92970573823788
7125,UEI-IMD-FL-2023-0340,2023-07-05,2023-07-05,1.0,Heavy Rains,,Kodagu,Karnataka,,,,,,,,,,,IMD,,541,29,-55.916511566204925,-180.31719798866672,-453.85432766453476,-62.92970573823788
7126,UEI-IMD-FL-2023-0341,2023-07-05,2023-07-05,1.0,Heavy Rains,,Udupi,Karnataka,,,,,,,,,,,IMD,,549,29,-55.916511566204925,-180.31719798866672,-453.85432766453476,-62.92970573823788
7127,UEI-IMD-FL-2023-0342,2023-07-05,2023-07-05,1.0,Heavy Rains,,Uttar Kashia Kannada,Karnataka,,,,,,,,,,,IMD,,,29,-55.916511566204925,-180.31719798866672,-453.85432766453476,-62.92970573823788
7128,UEI-IMD-FL-2023-0343,2023-07-23,2023-07-23,1.0,Heavy Rains & Floods,,Dakshina Kannada,Karnataka,,,,,,1.0,,,,,IMD,,534,29,-54.323223912359104,-164.59204604687227,-412.7366364755764,-56.96713938511514
